person;trip_number;trip_id;dep_time;trav_time;wait_time;traveled_distance;euclidean_distance;main_mode;longest_distance_mode;modes;start_activity_type;end_activity_type;start_facility_id;start_link;start_x;start_y;end_facility_id;end_link;end_x;end_y;first_pt_boarding_stop;last_pt_egress_stop
51;2;51_2;06:47:04;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
52;1;52_1;06:00:00;00:15:14;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
52;2;52_2;06:45:14;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
53;1;53_1;06:00:00;00:15:19;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
53;2;53_2;06:45:19;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
54;1;54_1;06:00:00;00:15:15;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
54;2;54_2;06:45:15;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
55;1;55_1;06:00:00;00:16:44;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
55;2;55_2;06:46:44;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
56;1;56_1;06:00:00;00:15:10;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
56;2;56_2;06:45:10;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
57;1;57_1;06:00:00;00:16:44;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
57;2;57_2;06:46:44;00:43:24;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
58;1;58_1;06:00:00;00:15:16;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
58;2;58_2;06:45:16;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
59;1;59_1;06:00:00;00:16:00;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
59;2;59_2;06:46:00;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
60;1;60_1;06:00:00;00:15:56;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
60;2;60_2;06:45:56;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
61;1;61_1;06:00:00;00:15:07;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
61;2;61_2;06:45:07;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
62;1;62_1;06:00:00;00:15:10;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
62;2;62_2;06:45:10;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
63;1;63_1;06:00:00;00:15:53;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
63;2;63_2;06:45:53;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
64;1;64_1;06:00:00;00:15:09;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
64;2;64_2;06:45:09;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
65;1;65_1;06:00:00;00:15:49;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
65;2;65_2;06:45:49;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
66;1;66_1;06:00:00;00:15:46;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
66;2;66_2;06:45:46;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
67;1;67_1;06:00:00;00:15:07;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
67;2;67_2;06:45:07;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
68;1;68_1;06:00:00;00:15:42;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
68;2;68_2;06:45:42;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
69;1;69_1;06:00:00;00:15:38;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
69;2;69_2;06:45:38;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
70;1;70_1;06:00:00;00:15:35;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
70;2;70_2;06:45:35;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
71;1;71_1;06:00:00;00:15:31;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
71;2;71_2;06:45:31;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
72;1;72_1;06:00:00;00:15:28;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
72;2;72_2;06:45:28;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
73;1;73_1;06:00:00;00:15:06;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
73;2;73_2;06:45:06;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
74;1;74_1;06:00:00;00:15:24;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
74;2;74_2;06:45:24;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
75;1;75_1;06:00:00;00:15:20;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
75;2;75_2;06:45:20;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
76;1;76_1;06:00:00;00:15:17;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
76;2;76_2;06:45:17;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
77;1;77_1;06:00:00;00:15:13;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
77;2;77_2;06:45:13;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
78;1;78_1;06:00:00;00:15:08;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
78;2;78_2;06:45:08;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
79;1;79_1;06:00:00;00:15:10;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
79;2;79_2;06:45:10;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
80;1;80_1;06:00:00;00:15:06;00:00:00;25000;35000;car;car;car;h;w;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
80;2;80_2;06:45:06;00:39:00;00:00:00;65000;35000;car;car;car;w;h;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
81;1;81_1;06:00:00;00:19:35;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
81;2;81_2;06:49:35;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
82;1;82_1;06:00:00;00:19:25;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
82;2;82_2;06:49:25;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
83;1;83_1;06:00:00;00:19:14;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
83;2;83_2;06:49:14;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
84;1;84_1;06:00:00;00:19:03;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
84;2;84_2;06:49:03;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
85;1;85_1;06:00:00;00:18:52;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
85;2;85_2;06:48:52;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
86;1;86_1;06:00:00;00:18:41;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
86;2;86_2;06:48:41;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
87;1;87_1;06:00:00;00:18:31;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
87;2;87_2;06:48:31;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
88;1;88_1;06:00:00;00:16:54;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
88;2;88_2;06:46:54;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
89;1;89_1;06:00:00;00:18:20;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
89;2;89_2;06:48:20;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
90;1;90_1;06:00:00;00:18:09;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
90;2;90_2;06:48:09;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
91;1;91_1;06:00:00;00:17:58;00:00:00;25000;35000;freight_n;freight_n;freight_n;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
91;2;91_2;06:47:58;00:43:24;00:00:00;65000;35000;freight_n;freight_n;freight_n;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
92;1;92_1;06:00:00;00:17:47;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
92;2;92_2;06:47:47;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
93;1;93_1;06:00:00;00:17:37;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
93;2;93_2;06:47:37;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
94;1;94_1;06:00:00;00:16:44;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
94;2;94_2;06:46:44;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
95;1;95_1;06:00:00;00:17:26;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
95;2;95_2;06:47:26;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
96;1;96_1;06:00:00;00:17:15;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
96;2;96_2;06:47:15;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
97;1;97_1;06:00:00;00:17:04;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
97;2;97_2;06:47:04;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
98;1;98_1;06:00:00;00:16:53;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
98;2;98_2;06:46:53;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
99;1;99_1;06:00:00;00:16:43;00:00:00;25000;35000;freight_i;freight_i;freight_i;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
99;2;99_2;06:46:43;00:43:24;00:00:00;65000;35000;freight_i;freight_i;freight_i;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
100;1;100_1;06:00:00;00:19:46;00:00:00;25000;35000;freight_n;freight_n;freight_n;f;d;null;1;-25000.0;0.0;null;20;10000.0;0.0;;
100;2;100_2;06:49:46;00:43:24;00:00:00;65000;35000;freight_n;freight_n;freight_n;d;f;null;20;10000.0;0.0;null;1;-25000.0;0.0;;
